Classification,Year,Month,Province,City,Total AUOM Masked
Marine Paints,2023,3,CEBU,MANDAUE CITY," 1,494,270 "
Marine Paints,2023,5,CEBU,MANDAUE CITY," 1,305,540 "
Marine Paints,2023,12,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 598,215 "
Marine Paints,2023,8,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 553,830 "
Marine Paints,2023,4,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 527,655 "
Marine Paints,2023,9,QUEZON,LUCENA CITY (Capital)," 527,175 "
Marine Paints,2023,11,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 451,485 "
Marine Paints,2023,10,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 447,435 "
Marine Paints,2023,6,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 432,240 "
Marine Paints,2023,5,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 430,395 "
Marine Paints,2022,4,CEBU,MANDAUE CITY," 429,510 "
Marine Paints,2022,3,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 406,230 "
Marine Paints,2023,2,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 403,590 "
Marine Paints,2022,1,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 388,515 "
Marine Paints,2023,3,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 388,275 "
Marine Paints,2023,5,CEBU,CEBU CITY (Capital)," 340,875 "
Marine Paints,2022,2,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 332,505 "
Marine Paints,2023,4,CAVITE,TANZA," 331,980 "
Marine Paints,2022,2,CEBU,CEBU CITY," 316,065 "
Marine Paints,2022,9,BATANGAS,LEMERY," 314,280 "
Marine Paints,2022,5,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 297,210 "
Marine Paints,2022,11,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 284,235 "
Marine Paints,2022,12,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 279,660 "
Marine Paints,2023,9,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 278,865 "
Marine Paints,2023,11,BATANGAS,LEMERY," 267,180 "
Marine Paints,2023,5,CAVITE,TANZA," 263,760 "
Marine Paints,2023,7,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 259,710 "
Marine Paints,2023,8,CAVITE,TANZA," 255,945 "
Marine Paints,2022,4,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 251,130 "
Marine Paints,2023,6,QUEZON,LUCENA CITY (Capital)," 250,200 "
Marine Paints,2023,3,CAVITE,TANZA," 249,570 "
Marine Paints,2022,10,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 245,910 "
Marine Paints,2022,9,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 220,755 "
Marine Paints,2022,7,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 213,825 "
Marine Paints,2022,8,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 213,480 "
Marine Paints,2023,6,BATAAN,MARIVELES," 207,840 "
Marine Paints,2023,5,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 207,045 "
Marine Paints,2023,9,CAVITE,TANZA," 195,300 "
Marine Paints,2022,6,"NCR, THIRD DISTRICT (Not a Province)",CITY OF NAVOTAS," 191,850 "
Marine Paints,2022,5,BATANGAS,CITY OF TANAUAN," 185,730 "
Marine Paints,2022,4,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 179,070 "
Marine Paints,2022,3,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 178,140 "
Marine Paints,2023,11,CEBU,CEBU CITY (Capital)," 174,000 "
Marine Paints,2023,7,CEBU,SAN FERNANDO," 171,540 "
Marine Paints,2023,9,CEBU,CEBU CITY (Capital)," 170,880 "
Marine Paints,2023,11,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 165,420 "
Marine Paints,2023,2,SOUTH COTABATO,GENERAL SANTOS CITY," 164,505 "
Marine Paints,2022,3,CEBU,CEBU CITY," 164,040 "
Marine Paints,2023,3,QUEZON,LUCENA CITY (Capital)," 163,395 "
Marine Paints,2023,5,QUEZON,LUCENA," 162,000 "
Marine Paints,2023,7,BOHOL,BUENAVISTA," 159,840 "
Marine Paints,2022,1,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 158,340 "
Marine Paints,2023,3,SOUTH COTABATO,GENERAL SANTOS CITY," 157,020 "
Marine Paints,2022,12,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 153,855 "
Marine Paints,2023,5,SOUTH COTABATO,GENERAL SANTOS CITY," 153,570 "
Marine Paints,2023,8,SOUTH COTABATO,GENERAL SANTOS CITY," 153,120 "
Marine Paints,2023,11,CAVITE,TANZA," 152,880 "
Marine Paints,2023,8,QUEZON,LUCENA CITY (Capital)," 151,830 "
Marine Paints,2022,4,QUEZON,LUCENA CITY (Capital)," 150,765 "
Marine Paints,2023,4,CAVITE,KAWIT," 149,730 "
Marine Paints,2023,12,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 149,400 "
Marine Paints,2023,2,CEBU,MANDAUE CITY," 148,815 "
Marine Paints,2023,4,CEBU,MANDAUE CITY," 147,345 "
Marine Paints,2022,6,RIZAL,BINANGONAN," 147,150 "
